epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,573.26,1.41104,1.1483,0.80835,0.84784,1,0.995,0.79566,0.92943,3.91905,0.64116,0.000490762,0.000490762,0.000490762
61,580.52,1.80429,1.61633,0.8232,0.84784,1,0.995,0.79566,0.92943,3.91905,0.64116,0.0004872,0.0004872,0.0004872
62,590.273,1.36377,1.37878,0.77793,0.84784,1,0.995,0.79566,0.92943,3.91905,0.64116,0.000483242,0.000483242,0.000483242
63,599.722,1.37297,1.01959,0.78991,0.93919,1,0.995,0.6965,1.47267,2.47758,0.64942,0.000478888,0.000478888,0.000478888
64,608.498,1.59543,1.04814,0.78349,0.93919,1,0.995,0.6965,1.47267,2.47758,0.64942,0.000474138,0.000474138,0.000474138
65,615.331,1.41153,1.08316,0.82641,0.93919,1,0.995,0.6965,1.47267,2.47758,0.64942,0.000468992,0.000468992,0.000468992
66,622.313,1.27242,1.07752,0.77919,0.65226,1,0.82833,0.37862,2.11001,2.27039,0.67862,0.00046345,0.00046345,0.00046345
67,629.745,2.08201,1.24372,0.87416,0.65226,1,0.82833,0.37862,2.11001,2.27039,0.67862,0.000457512,0.000457512,0.000457512
68,637.662,1.60504,1.12848,0.90683,0.65226,1,0.82833,0.37862,2.11001,2.27039,0.67862,0.000451178,0.000451178,0.000451178
69,646.875,1.7229,1.04383,0.88532,0.65436,1,0.82833,0.35743,2.22276,2.57583,0.69135,0.000444448,0.000444448,0.000444448
70,656.966,2.07109,1.26082,0.85949,0.65436,1,0.82833,0.35743,2.22276,2.57583,0.69135,0.000437322,0.000437322,0.000437322
71,670.606,1.64583,0.98287,0.8345,0.65436,1,0.82833,0.35743,2.22276,2.57583,0.69135,0.0004298,0.0004298,0.0004298
72,682.55,1.83466,1.56159,0.82925,0.66337,0.99011,0.82833,0.46378,1.86023,3.06398,0.6836,0.000421882,0.000421882,0.000421882
73,691.32,1.69214,1.25223,0.85584,0.66337,0.99011,0.82833,0.46378,1.86023,3.06398,0.6836,0.000413568,0.000413568,0.000413568
74,698.12,1.41113,0.98714,0.87581,0.66337,0.99011,0.82833,0.46378,1.86023,3.06398,0.6836,0.000404858,0.000404858,0.000404858
75,705.17,1.17001,0.89772,0.82146,0.65327,1,0.82833,0.44702,1.57114,4.7656,0.67057,0.000395752,0.000395752,0.000395752
76,712.302,1.76207,0.96819,0.8084,0.65327,1,0.82833,0.44702,1.57114,4.7656,0.67057,0.00038625,0.00038625,0.00038625
77,719.53,1.36158,0.88256,0.79088,0.65327,1,0.82833,0.44702,1.57114,4.7656,0.67057,0.000376352,0.000376352,0.000376352
78,726.829,1.49717,0.75285,0.84048,0.65948,0.97845,0.66333,0.39798,1.45903,6.68918,0.65729,0.000366058,0.000366058,0.000366058
79,733.75,2.25538,1.82461,0.83675,0.65948,0.97845,0.66333,0.39798,1.45903,6.68918,0.65729,0.000355368,0.000355368,0.000355368
80,740.945,1.22663,0.7994,0.80988,0.65948,0.97845,0.66333,0.39798,1.45903,6.68918,0.65729,0.000344282,0.000344282,0.000344282
81,747.966,1.08153,0.72333,0.81247,0.47106,0.91317,0.4975,0.34824,1.44959,6.65375,0.65953,0.0003328,0.0003328,0.0003328
82,754.459,1.22915,0.80831,0.80476,0.47106,0.91317,0.4975,0.34824,1.44959,6.65375,0.65953,0.000320922,0.000320922,0.000320922
83,761.104,1.36582,0.69902,0.8104,0.47106,0.91317,0.4975,0.34824,1.44959,6.65375,0.65953,0.000308648,0.000308648,0.000308648
84,768.099,1.88557,0.92469,0.81743,0.48155,1,0.4975,0.34825,1.45347,4.50503,0.66956,0.000295978,0.000295978,0.000295978
85,774.645,1.46076,0.86056,0.76719,0.48155,1,0.4975,0.34825,1.45347,4.50503,0.66956,0.000282912,0.000282912,0.000282912
86,781.293,1.65114,0.82871,0.88943,0.48155,1,0.4975,0.34825,1.45347,4.50503,0.66956,0.00026945,0.00026945,0.00026945
87,788.45,1.29148,0.81443,0.79367,0.48155,1,0.4975,0.34825,1.45347,4.50503,0.66956,0.000255592,0.000255592,0.000255592
88,796.023,1.24716,0.79648,0.80941,0.65856,0.97567,0.82833,0.54664,1.48872,2.51199,0.68789,0.000241338,0.000241338,0.000241338
89,802.665,1.33845,0.7743,0.81566,0.65856,0.97567,0.82833,0.54664,1.48872,2.51199,0.68789,0.000226688,0.000226688,0.000226688
90,809.473,1.88311,1.38861,0.82178,0.65856,0.97567,0.82833,0.54664,1.48872,2.51199,0.68789,0.000211642,0.000211642,0.000211642
91,817.371,1.31376,1.08828,0.89722,0.65856,0.97567,0.82833,0.54664,1.48872,2.51199,0.68789,0.0001962,0.0001962,0.0001962
92,826.951,1.62121,1.1617,0.85784,0.64773,1,0.82833,0.5715,1.44676,1.25607,0.69383,0.000180362,0.000180362,0.000180362
93,836.511,1.39295,1.28058,0.78252,0.64773,1,0.82833,0.5715,1.44676,1.25607,0.69383,0.000164128,0.000164128,0.000164128
94,845.49,1.21365,0.90797,0.85399,0.64773,1,0.82833,0.5715,1.44676,1.25607,0.69383,0.000147498,0.000147498,0.000147498
95,855.696,1.46301,1.11021,0.78287,0.64773,1,0.82833,0.5715,1.44676,1.25607,0.69383,0.000130472,0.000130472,0.000130472
96,867.259,1.46764,1.3176,0.7632,1,0.98699,0.995,0.64663,1.45871,0.96702,0.68797,0.00011305,0.00011305,0.00011305
97,878.91,1.52892,1.02273,0.76356,1,0.98699,0.995,0.64663,1.45871,0.96702,0.68797,9.5232e-05,9.5232e-05,9.5232e-05
98,893.197,1.40388,0.94031,0.86277,1,0.98699,0.995,0.64663,1.45871,0.96702,0.68797,7.7018e-05,7.7018e-05,7.7018e-05
99,905.371,2.00634,1.47907,0.81139,1,0.98699,0.995,0.64663,1.45871,0.96702,0.68797,5.8408e-05,5.8408e-05,5.8408e-05
100,916.829,1.21482,1.02824,0.76963,1,0.98322,0.995,0.64663,1.47682,0.90878,0.68341,3.9402e-05,3.9402e-05,3.9402e-05
